,序号,姓名,所属公司,现任基金,累计从业时间,现任基金最佳回报,现任基金资产总规模
1365,16,沈荣,光大保德信基金,"光大尊盈半年定开债A,光大尊盈半年定开债C,光大中高等级债券A,光大中高等级债券C,光大尊富18个月定开债A,光大尊富18个月定开债C,光大安和债券A,光大安和债券C,光大尊丰纯债定开债,光大超短债A,光大超短债C,光大货币B,光大尊合87个月定开债,光大安瑞一年持有A,光大安瑞一年持有C,光大货币A,光大添天盈五年定开债",1324,18.50,410.72
1366,17,宋仁杰,泰康资产,"泰康策略优选混合,泰康景泰回报混合A,泰康景泰回报混合C,泰康品质生活混合A,泰康品质生活混合C",549,76.29,36.58
1367,18,施荣盛,安信基金,"安信量化优选股票A,安信量化优选股票C,安信中证一带一路主题指数,安信深圳科技指数(LOF)A,安信深圳科技指数(LOF)C",430,37.90,5.46
1368,19,沈若雨,汇添富基金,汇添富盈安灵活配置混合,65,-15.52,3.45
1369,20,孙晟,建信基金,"建信新经济灵活配置混合,建信中国制造2025",1814,108.94,3.31
1370,21,孙松,易方达基金,易方达新常态灵活配置混合,814,130.79,33.36
1371,22,孙绍冰,富安达基金,"富安达新兴成长混合,富安达科技领航混合,富安达双擎驱动混合",2127,21.05,3.51
1372,23,孙少锋,博时基金,"博时颐泰混合A,博时颐泰混合C,博时平衡配置混合,博时策略混合",2003,92.93,16.97
1373,24,尚烁徽,华泰保兴,"华泰保兴吉年丰混合发起A,华泰保兴吉年丰混合发起C,华泰保兴成长优选A,华泰保兴成长优选C,华泰保兴吉年利定开,华泰保兴健康消费A,华泰保兴健康消费C,华泰保兴多策略",1455,167.80,26.35
1374,25,施同亮,摩根士丹利华鑫基金,"大摩优质信价纯债A,大摩优质信价纯债C,大摩丰裕63个月开放债券",1529,18.75,90.13
1375,26,苏天醒,国寿安保基金,"国寿安保创精选88ETF,国寿安保中证沪港深300ETF",17,-4.84,43.24
1376,27,孙伟,东方红资产管理,"东方红智远三年持有混合,东方红睿泽三年定开混合C,东方红睿满沪港深混合(LOF),东方红睿泽三年定开混合A",1882,205.05,237.75
1377,28,史伟,博道基金,博道睿见一年持有期混合,2472,-2.11,11.71
1378,29,孙伟,南方基金,"南方创业板ETF联接A,南方中证500信息技术联接A,南方中证全指证券公司ETF联接A,南方中证全指证券公司ETF联接C,南方创业板ETF联接C,南方深证成份ETF联接C,南方中证500信息技术联接C,南方银行ETF联接A,南方银行ETF联接C,南方H股联接A,南方H股联接C,南方上证380ETF联接C,南方创业板ETF联接E,南方中证国有企业改革指数(LOF)C,南方深证成份ETF,南方创业板ETF,南方恒生中国企业ETF,南方中证高铁产业指数(LOF),南方中证国有企业改革指数(LOF)A,南方深证成份ETF联接A,南方上证380ETF联接A,南方上证380ETF,南方中证500信息技术ETF,南方中证银行ETF,南方中证全指证券公司ETF",2127,46.86,252.93
1379,30,沙炜,博时基金,"博时丝路主题股票A,博时丝路主题股票C,博时研究臻选持有期混合A,博时研究臻选持有期混合C,博时战略新材料主题混合A,博时战略新材料主题混合C",2127,172.83,21.12
1380,31,孙伟,民生加银基金,"民生加银策略精选混合A,民生加银新兴成长混合,民生加银创新成长混合,民生加银新动能一年定开混合A,民生加银新动能一年定开混合C,民生加银策略精选混合C,民生加银家盈6个月持有期债券A,民生加银家盈6个月持有期债券C,民生加银新兴产业混合A,民生加银新兴产业混合C,民生加银成长优选股票,民生加银科创3年封闭混合",2446,490.10,233.79
1381,32,单文,工银瑞信基金,"工银信息产业混合A,工银互联网加股票,工银红利优享混合A,工银红利优享混合C,工银创新精选一年定开混合A,工银创新精选一年定开混合C,工银创新成长混合A,工银创新成长混合C,工银信息产业混合C",1730,181.04,161.00
1382,33,苏文杰,嘉实基金,"嘉实资源精选股票A,嘉实资源精选股票C",877,133.24,2.26
1383,34,孙文龙,国投瑞银基金,"国投瑞银精选收益混合,国投瑞银远见成长混合A,国投瑞银远见成长混合C,国投瑞银价值成长一年持有混合A,国投瑞银价值成长一年持有混合C,国投瑞银创新动力混合,国投瑞银稳健增长混合,国投瑞银新兴产业混合",2246,239.23,94.05
1384,35,沈夏,新沃基金,"新沃通宝A,新沃通宝B,新沃通利纯债A,新沃通利纯债C",254,1.33,3.10
1385,36,沈雪峰,华泰柏瑞基金,"华泰柏瑞激励动力混合A,华泰柏瑞激励动力混合C,华泰柏瑞品质优选A,华泰柏瑞品质优选C,华泰柏瑞优势领航混合A,华泰柏瑞优势领航混合C,华泰柏瑞品质成长混合A,华泰柏瑞品质成长混合C",3282,20.67,119.34
1386,37,苏炫纲,南方基金,"南方亚洲美元债人民币A,南方亚洲美元债人民币C,南方亚洲美元债美元现汇A,南方亚洲美元债美元现汇C,南方全球债券(QDII)人民币A,南方全球债券(QDII)人民币C,南方全球债券(QDII)美元现汇A,南方全球债券(QDII)美元现汇C",1841,15.27,23.94
1387,38,史向明,农银汇理基金,"农银天天利货币A,农银天天利货币B,农银汇理金丰一年定开债,农银汇理金利一年定开债,农银汇理金鑫3个月定开债,农银恒久增利债券A,农银增强收益债券A,农银汇理金聚高等级债券,农银恒久增利债券C,农银增强收益债券C",4512,86.72,168.70
1388,39,石霄蒙,中融基金,"中融聚明定期开放债券,中融聚通定期开放债券,中融聚锦一年定开债券",129,1.42,35.95
1389,40,石晓冉,人保资产,"人保量化混合A,人保量化混合C,人保沪深300指数,人保中证500指数,人保量化锐进混合A,人保量化锐进混合C",227,10.04,5.13
1390,41,孙欣炎,先锋基金,"先锋精一混合A,先锋精一混合C,先锋聚元灵活配置混合A,先锋聚元灵活配置混合C,先锋量化优选混合A,先锋量化优选混合C",496,43.60,0.40
1391,42,孙笑悦,富国基金,"富国医疗保健行业混合A,富国精准医疗混合,富国医药成长30股票,富国医疗保健行业混合C",343,31.81,72.52
1392,43,桑迎,国寿安保基金,"国寿安保货币A,国寿安保货币B,国寿安保薪金宝货币,国寿安保添利货币A,国寿安保添利货币B,国寿安保货币E",3063,22.83,511.88
1393,44,石玉,中金基金,"中金纯债A,中金纯债C,中金现金管家A,中金现金管家B,中金金利A,中金金利C,中金现金管家C,中金浙金6个月定开债,中金新元6个月定开债A,中金新元6个月定开债C,中金中债1-3年政金债A,中金中债1-3年政金债C,中金新盛1年定开债",1706,15.51,230.34
1394,45,宋洋,华夏基金,"华夏沪深300指数增强A,华夏沪深300指数增强C,华夏睿磐泰盛混合,华夏鼎汇债券A,华夏鼎汇债券C,华夏睿磐泰兴混合,华夏睿磐泰茂混合A,华夏睿磐泰茂混合C,华夏睿磐泰荣混合A,华夏睿磐泰荣混合C,华夏睿磐泰利混合A,华夏睿磐泰利混合C",1581,67.08,42.71
1395,46,史延,前海开源基金,"前海开源弘丰债券A,前海开源弘丰债券C,前海开源鼎欣债券A,前海开源鼎欣债券C",673,6.07,15.28
1396,47,沈悦,中欧基金,"中欧潜力价值灵活配置混合A,中欧价值发现混合E,中欧成长优选混合E,中欧丰泓沪港深混合A,中欧丰泓沪港深混合C,中欧价值发现混合C,中欧潜力价值灵活配置混合C,中欧价值发现混合A,中欧成长优选混合A,中欧恒利三年定期开放混合",310,42.82,64.11
1397,48,孙悦,创金合信基金,"创金合信量化核心混合A,创金合信量化核心混合C,创金合信红利低波动A,创金合信红利低波动C,创金合信港股通量化股票A,创金合信港股通量化股票C",190,10.39,9.57
1398,49,宋永安,农银汇理基金,"农银沪深300指数C,农银大盘蓝筹混合,农银沪深300指数A,农银中证500指数",3149,144.15,9.48
1399,50,孙亚超,中融基金,"中融量化智选混合A,中融量化智选混合C",1134,12.40,0.11
1400,1,神玉飞,银河基金,"银河产业动力混合,银河研究精选混合,银河智联混合",3009,125.90,40.68
1401,2,孙轶佳,华夏基金,"华夏新兴消费混合A,华夏新兴消费混合C",1946,214.17,20.19
1402,3,苏玉平,华安基金,"华安信用四季红债券C,华安强化收益债券A,华安强化收益债券B,华安信用四季红债券A",4246,108.64,5.82
1403,4,苏燕青,招商基金,"招商上证消费80ETF联接C,招商深证TMT50ETF联接C,招商深证TMT50ETF,招商创业板大盘ETF,招商沪深300高贝塔,招商中证全指证券公司指数(LOF),招商沪深300地产等权重指数,招商上证消费80ETF联接A,招商深证TMT50ETF联接A,招商富时A-H50指数A,招商富时A-H50指数C,招商上证消费80ETF,招商上证港股通ETF",1525,136.26,58.26
1404,5,石雨欣,华安基金,"华安安康灵活配置混合A,华安安康灵活配置混合C,华安稳固收益债券A,华安聚利18个月定开债A,华安聚利18个月定开债C,华安新瑞利混合A,华安新瑞利混合C,华安新丰利灵活配置混合A,华安新丰利灵活配置混合C,华安新恒利混合A,华安新恒利混合C,华安安盛3个月定开债,华安稳固收益债券C",2071,69.23,65.79
1405,6,邵卓,建信基金,"建信创新中国混合,建信中小盘先锋股票,建信潜力新蓝筹股票,建信信息产业股票,建信裕利灵活配置混合,建信科技创新混合A,建信科技创新混合C",2186,153.30,16.43
1406,7,盛泽,东方基金,"东方鼎新灵活配置混合A,东方鼎新灵活配置混合C,东方岳灵活配置混合,东方量化成长灵活配置混合,东方量化多策略混合,东方核心动力混合",948,95.94,12.07
1407,8,商震,汇安基金,"汇安丰融混合A,汇安丰融混合C,汇安价值蓝筹混合A,汇安价值蓝筹混合C",577,44.93,3.06
1408,9,沈竹熙,国海富兰克林基金,"国富新趋势混合A,国富新趋势混合C,国富恒裕6个月定开债,国富恒嘉短债债券A,国富恒嘉短债债券C,国富恒博63个月定期开放债券",1027,11.81,92.85
1409,10,宋钊贤,易方达基金,"易方达MSCI中国A股联接A,易方达MSCI中国A股联接C,易方达中证红利ETF联接A,易方达中证红利ETF联接C,易方达中证国企改革(LOF),易方达上证50指数(LOF),易方达MSCI中国A股ETF,易方达中证红利ETF",194,11.55,33.20
1410,11,陶灿,建信基金,"建信改革红利股票,建信现代服务业股票,建信鑫利灵活配置混合,建信高股息主题股票,建信新能源行业股票,建信智能生活混合,建信恒久价值混合",3538,361.00,50.04
1411,12,谭昌杰,广发基金,"广发趋势优选灵活配置混合A,广发聚安混合A,广发聚安混合C,广发聚宝混合A,广发聚宝混合C,广发趋势优选灵活配置混合C,广发恒隆一年持有混合A,广发恒隆一年持有混合C,广发恒誉混合A,广发恒誉混合C,广发恒通六个月持有期混合A,广发恒通六个月持有期混合C,广发恒悦债券A,广发恒悦债券C,广发恒悦债券E,广发恒信一年持有期混合A,广发恒信一年持有期混合C",3164,92.12,341.55
1412,13,谭冬寒,工银瑞信基金,"工银医疗保健股票,工银医药健康股票A,工银医药健康股票C,工银健康生活混合A,工银健康生活混合C",1658,198.02,105.74
1413,14,唐丁祥,兴业基金,"兴业稳固收益两年理财债券,兴业福益债券,兴业中债1-3年政金债A,兴业聚丰灵活配置混合,兴业启元一年定开债A,兴业启元一年定开债C,兴业稳康三年定开债券,兴业中债1-3年政金债C,兴业嘉华一年定开债券发起式,兴业稳泰66个月定开债券",758,8.90,229.53
1414,15,谭飞,博远基金,"博远博锐混合A,博远博锐混合C",253,-16.27,0.49
1415,16,陶国峰,兴银基金,"兴银合盈债券A,兴银合盈债券C,兴银瑞益,兴银长盈三个月定开债,兴银鑫日享短债A,兴银鑫日享短债C,兴银汇智定开债",471,4.06,114.01
1416,17,童国林,西部利得基金,"西部利得事件驱动股票,西部利得祥盈债券A,西部利得祥盈债券C",1370,29.47,3.21
1417,18,田光远,嘉实基金,嘉实中证稀土产业ETF,9,-0.50,6.43
1418,19,汤慧,华宝基金,"华宝万物互联混合,华宝消费升级混合,华宝成长策略混合,华宝宝康配置混合",560,57.58,9.02
1419,20,汤海波,国投瑞银基金,"国投瑞银信息消费混合,国投瑞银创新医疗混合,国投瑞银港股通混合A,国投瑞银港股通混合C,国投瑞银融华债券,国投瑞银中国价值发现股票",3295,124.63,22.25
1420,21,涂海强,中银基金,"中银稳进策略混合,中银鑫利混合A,中银鑫利混合C,中银景福回报混合,中银景元回报混合,中银民丰回报混合,中银景泰回报混合,中银稳健策略混合",1905,52.02,54.23
1421,22,田汉卿,华泰柏瑞基金,"华泰柏瑞量化增强混合A,华泰柏瑞量化绝对收益混合,华泰柏瑞量化智慧混合A,华泰柏瑞量化对冲,华泰柏瑞量化创优混合,华泰柏瑞量化阿尔法A,华泰柏瑞量化智慧混合C,华泰柏瑞量化阿尔法C,华泰柏瑞量化创享混合A,华泰柏瑞量化创享混合C,华泰柏瑞量化增强混合C,华泰柏瑞量化先行混合C,华泰柏瑞量化创盈混合A,华泰柏瑞量化创盈混合C,华泰柏瑞量化先行混合A",2785,244.54,69.33
1422,23,谭弘翔,华泰柏瑞基金,"华泰柏瑞中证智能汽车主题ETF,华泰柏瑞中证稀土产业ETF",8,3.26,23.24
1423,24,屠环宇,华夏基金,"华夏创新前沿股票,华夏创业板两年定开混合",360,50.00,58.71
1424,25,TIAN HUAN,天治基金,"天治研究驱动混合C,天治量化核心精选混合A,天治量化核心精选混合C,天治转型升级混合,天治研究驱动混合A",954,116.62,2.94
1425,26,谭荐丰,前海开源基金,"前海开源睿远稳健增利混合A,前海开源睿远稳健增利混合C,前海开源工业革命4.0混合,前海开源沪港深智慧生活混合,前海开源恒远灵活配置混合",814,103.80,17.31
1426,27,唐俊杰,申万菱信基金,"申万菱信多策略灵活配置混合A,申万菱信安鑫回报混合A,申万菱信多策略灵活配置混合C,申万菱信安鑫回报混合C,申万菱信安泰惠利纯债A,申万菱信安泰惠利纯债C,申万菱信安泰广利63个月定开债,申万菱信收益宝货币E,申万菱信宜选混合A,申万菱信宜选混合C,申万菱信收益宝货币A,申万菱信收益宝货币B",2939,43.63,287.59
1427,28,谭珏娜,安信基金,"安信工业4.0灵活配置混合A,安信工业4.0灵活配置混合C,安信创新先锋混合发起A,安信创新先锋混合发起C",1198,47.20,3.30
1428,29,田俊维,天弘基金,"天弘安康颐养混合C,天弘文化新兴产业,天弘永定价值成长混合,天弘安康颐养混合A",2113,135.40,30.54
1429,30,谈洁颖,财通基金,"财通多策略升级混合(LOF),财通福佑定开混合发起",2919,53.85,6.23
1430,31,童立,华商基金,"华商新锐产业混合,华商研究精选灵活配置,华商上游产业股票,华商科技创新混合,华商主题精选混合",1801,102.68,30.60
1431,32,唐雷,东方阿尔法基金,"东方阿尔法优势产业混合A,东方阿尔法优势产业混合C",1465,27.72,14.35
1432,33,谭丽,嘉实基金,"嘉实新消费股票,嘉实丰和灵活配置混合,嘉实价值精选股票,嘉实价值发现三个月定开混合,嘉实价值长青混合A,嘉实价值长青混合C,嘉实价值优势混合,嘉实战略配售(LOF)",1437,148.42,319.88
1433,34,童兰,兴证全球基金,兴全趋势投资混合(LOF),259,28.25,352.54
1434,35,陶敏,海富通基金,海富通强化回报混合,1065,35.48,3.17
1435,36,唐能,银华基金,"银华瑞泰灵活配置混合,银华科技创新混合,银华和谐主题混合,银华科创主题3年封闭混合",2124,180.61,40.82
1436,37,陶祺,华富基金,"华富货币B,华富天盈货币A,华富天盈货币B,华富富瑞3个月定开债,华富恒盛纯债债券A,华富恒盛纯债债券C,华富恒欣纯债债券A,华富恒欣纯债债券C,华富安兴39个月定开债A,华富安兴39个月定开债C,华富63个月定期开放债券,华富货币A",542,4.02,190.95
1437,38,汤祺,中融基金,"中融新机遇混合,中融融慧双欣一年定开债券A,中融融慧双欣一年定开债券C",129,3.81,11.87
1438,39,陶然,国泰基金,"国泰利是宝货币,国泰货币B,国泰利享中短债债券A,国泰利享中短债债券C,国泰惠鑫一年定期开放债券,国泰货币A,国泰现金管理货币A,国泰现金管理货币B,国泰瞬利货币ETF",1160,1.73,1652.13
1439,40,陶铄,南方基金,"南方弘利A,南方弘利C,南方颐元定开债券发起式A,南方颐元定开债券发起式C",2841,20.82,23.02
1440,41,唐瑭,上投摩根基金,"上投摩根双债增利债券A,上投摩根双债增利债券C,上投摩根纯债添利债券A,上投摩根纯债添利债券C,上投摩根安鑫回报A,上投摩根安鑫回报C,上投安丰回报A,上投安丰回报C,上投摩根分红添利债券A,上投摩根分红添利债券B",2130,41.02,7.08
1441,42,佟巍,华夏基金,华夏经典混合,2211,80.91,9.68
1442,43,田维,前海开源基金,"前海开源沪港深大消费混合A,前海开源沪港深大消费混合C",252,25.75,0.63
1443,44,田文舟,广发基金,"广发龙头优选混合,广发再融资主题",654,95.92,9.55
1444,45,覃璇,前海开源基金,"前海开源裕源(FOF),前海开源裕泽(FOF),前海开源康颐平衡养老三年(FOF)",315,8.02,3.66
1445,46,唐晓斌,广发基金,"广发多因子混合,广发多元新兴股票",2276,159.47,80.45
1446,47,谭小兵,长城基金,"长城医疗保健混合,长城健康生活灵活配置混合,长城创新驱动混合",1870,209.93,79.44
1447,48,陶星言,西部利得基金,"西部利得港股通新机遇混合A,西部利得港股通新机遇混合C,西部利得鑫泓增强债券A,西部利得鑫泓增强债券C",245,12.15,3.35
1448,49,唐赟,交银施罗德基金,"交银信用添利债券(LOF),交银双利债券A/B,交银双利债券C,交银双轮动债券A/B,交银双轮动债券C,交银稳固收益债券,交银增强收益债券,交银定期支付月月丰债券A,交银定期支付月月丰债券C,交银强化回报债券A/B,交银强化回报债券C,交银荣鑫灵活配置混合",2053,23.49,72.07
1449,50,滕越,招商基金,"招商添德3个月定开债A,招商添德3个月定开债C,招商信用增强债券C,招商民安增益债券A,招商民安增益债券C,招商添浩纯债A,招商添浩纯债C,招商安本增利债券,招商信用增强债券A",1468,14.15,37.40
1450,1,田原,中银基金,"中银智享债券,中银丰进定期开放债券,中银中债1-3年期国开债指数,中银中债1-3年期农发行债,中银中债1-5年国开债指数,中银彭博巴克莱银行1-5年,中银臻享债券",755,6.15,240.59
1451,2,田瑀,中泰证券(上海)资管,"中泰玉衡价值优选混合,中泰开阳价值优选混合A,中泰兴诚价值一年持有混合A,中泰兴诚价值一年持有混合C,中泰开阳价值优选混合C",699,101.01,12.29
1452,3,田阳,人保资产,"人保货币A,人保货币B,人保鑫瑞中短债债券A,人保鑫瑞中短债债券C,人保福泽一年定期开放债券,人保安惠三个月定开债,人保鑫泽纯债A,人保鑫泽纯债C",617,3.86,103.00
1453,4,唐煜,西部利得基金,"西部利得沣泰债券,西部利得鑫泓增强债券A,西部利得鑫泓增强债券C,西部利得景程混合A,西部利得景程混合C,西部利得合赢债券A,西部利得合赢债券C,西部利得祥逸债券A,西部利得祥逸债券C,西部利得汇盈债券A,西部利得汇盈债券C",370,3.04,20.90
1454,5,陶毅,永赢基金,"永赢稳益债券,永赢瑞益债券,永赢昌利债券A,永赢昌利债券C,永赢泽利一年定开,永赢易弘债券,永赢鑫享混合,永赢稳健增利18个月持有混合,永赢鑫欣混合",311,2.00,106.22
1455,6,童宇,诺安基金,诺安高端制造股票,77,-3.48,1.09
1456,7,陶尹斌,国寿安保基金,"国寿安保尊益信用纯债债券,国寿安保尊裕优化回报债券A,国寿安保尊裕优化回报债券C,国寿安保泰恒纯债债券,国寿安保中债1-3年指数A,国寿安保中债1-3年指数C,国寿安保泰弘纯债债券,国寿安保泰祥纯债一年定开债券发起式,国寿安保泰瑞纯债一年定开债,国寿安保泰吉纯债一年定开债,国寿安保瑞和66个月定开债",757,9.09,342.82
1457,8,谈云飞,海富通基金,"海富通盈鑫货币A,海富通盈鑫货币B,海富通中短债债券C,海富通中短债债券A,海富通惠睿精选混合A,海富通惠睿精选混合C,海富通强化回报混合,海富通稳健添利债券C,海富通稳健添利债券A,海富通聚利债券,海富通欣享灵活配置混合C,海富通欣享灵活配置混合A,海富通货币A,海富通货币B",2423,47.51,128.86
1458,9,陶意非,海富通基金,"海富通中国海外混合,海富通大中华混合(QDII)",778,55.83,1.56
1459,10,唐颐恒,富国基金,"富国天益价值混合C,富国天益价值混合A",604,111.31,107.13
1460,11,田彧龙,交银施罗德基金,"交银科锐科技创新混合,交银产业机遇混合,交银数据产业灵活配置混合",674,127.40,115.72
1461,12,田元强,平安基金,"平安日增利货币A,平安惠金定开债A,平安交易型货币A,平安合信定开债,平安合锦定开债,平安惠金定开债C,平安3-5年政策性金融债A,平安3-5年政策性金融债C,平安如意中短债A,平安如意中短债C,平安如意中短债E,平安惠铭纯债,平安日增利货币B,平安交易型货币E",843,7.11,1539.76
1462,13,田元泉,建信基金,建信新能源行业股票,274,60.11,22.93
1463,14,提云涛,中信保诚基金,"信诚新选混合A,信诚新选混合B,信诚至选混合A,信诚至选混合C,信诚至瑞灵活配置A,信诚至瑞灵活配置C,信诚量化阿尔法股票,中信保诚红利精选混合A,中信保诚红利精选混合C,信诚新旺混合(LOF)A,信诚新旺混合(LOF)C",1842,76.83,43.19
1464,15,田钊,中科沃土基金,"中科沃土货币A,中科沃土货币B,中科沃土沃安中短利率A,中科沃土沃盛纯债A,中科沃土沃盛纯债C,中科沃土沃安中短利率C",476,2.88,4.27
1465,16,谭志强,汇添富基金,"汇添富民营新动力股票,汇添富社会责任混合",2050,49.30,23.58
1466,17,田志祥,兴证全球基金,兴全兴泰定期开放债券,258,1.97,30.43
1467,18,汤志彦,鹏华基金,"鹏华弘嘉混合A类,鹏华弘嘉混合C类,鹏华尊惠定期开放混合A,鹏华尊惠定期开放混合C,鹏华安和混合A,鹏华安和混合C,鹏华安庆混合A,鹏华安庆混合C",1342,101.59,26.79
1468,19,王安良,江信基金,"江信同福A,江信同福C",1869,17.75,0.38
1469,20,魏博,中欧基金,"中欧永裕混合A,中欧永裕混合C,中欧盛世成长混合(LOF)E,中欧盛世成长混合(LOF)C,中欧盛世成长混合(LOF)A",3137,541.20,20.15
1470,21,王滨,新华基金,"新华壹诺宝货币A,新华活期添利货币A,新华增强债券A,新华增强债券C,新华活期添利货币B,新华壹诺宝货币B,新华安享惠泽39个月定开债A,新华鑫日享中短债A,新华活期添利货币E,新华鑫日享中短债C,新华鑫日享中短债B,新华安享惠泽39个月定开债C,新华壹诺宝货币E,新华纯债添利债券发起B,新华安享惠融88个月定开债A,新华安享惠融88个月定开债C,新华纯债添利债券发起A,新华纯债添利债券发起C,新华鑫利灵活配置混合",1887,12.20,315.96
1471,22,王斌,银华基金,"银华回报定开混合,银华远见混合发起式",1867,111.14,2.44
1472,23,魏孛,中金基金,"中金绝对收益,中金沪深300A,中金中证500A,中金中证500C,中金沪深300C,中金丰硕混合,中金金序量化蓝筹A,中金金序量化蓝筹C,中金瑞祥A,中金瑞祥C,中金优选300指数(LOF)A,中金优选300指数(LOF)C",1451,382.03,11.04
1473,24,王斌,华安基金,"华安精致生活混合A,华安精致生活混合C,华安聚嘉精选混合A,华安聚嘉精选混合C,华安安信消费混合,华安安顺混合",869,225.42,104.65
1474,25,王博,南方基金,"南方科技创新混合A,南方科技创新混合C,南方成长先锋混合A,南方成长先锋混合C,南方科创板3年定开混合",493,81.65,269.91
1475,26,王博,安信基金,安信鑫发优选混合,440,57.46,0.15
1476,27,吴彬,华夏基金,"华夏鼎智债券A,华夏鼎智债券C,华夏鼎隆债券A,华夏鼎隆债券C,华夏鼎通债券A,华夏鼎通债券C,华夏鼎康债券A,华夏鼎康债券C,华夏鼎略债券A,华夏鼎略债券C,华夏中债3-5年政金债指数A,华夏中债3-5年政金债指数C,华夏鼎琪三个月定开债券,华夏鼎富债券A,华夏鼎富债券C",50,0.46,135.21
1477,28,王本昌,德邦基金,"德邦民裕进取量化混合A,德邦民裕进取量化混合C,德邦民裕进取量化精锐股票A,德邦民裕进取量化精锐股票C,德邦量化对冲混合A,德邦量化对冲混合C,德邦量化优选股票(LOF)A,德邦量化优选股票(LOF)C,德邦量化新锐股票A,德邦量化新锐股票C",2583,74.86,5.11
1478,29,吴邦栋,华泰柏瑞基金,"华泰柏瑞创新动力混合,华泰柏瑞精选回报混合,华泰柏瑞新兴产业混合A,华泰柏瑞锦瑞债券A,华泰柏瑞锦瑞债券C,华泰柏瑞新兴产业混合C,华泰柏瑞景利混合A,华泰柏瑞景利混合C",1100,93.30,24.36
1479,30,王保合,富国基金,"富国中证国企一带一路ETF联接A,富国中证国企一带一路ETF联接C,富国上证指数ETF联接,富国恒生中国企业ETF,富国创业板指数(LOF),富国中证军工指数(LOF),富国中证移动互联网指数(LOF),富国中证国有企业改革指数,富国中证全指证券公司指数(LOF),富国中证银行指数(LOF),富国新兴成长量化精选混合,上证综指ETF,富国中证国企一带一路ETF",3668,74.59,219.46
1480,31,吴博俊,诺安基金,"诺安优势行业混合A,诺安稳健回报灵活配置混合A,诺安创新驱动混合A,诺安进取回报混合,诺安创新驱动混合C,诺安稳健回报灵活配置混合C,诺安优势行业混合C,诺安优化配置混合",2469,46.26,3.89
1481,32,王博强,泰信基金,"泰信景气驱动12个月持有混合A,泰信景气驱动12个月持有混合C,泰信先行策略混合,泰信现代服务业混合",2193,56.47,11.68
1482,33,吴秉韬,泰信基金,泰信国策驱动灵活配置混合,602,136.08,0.96
1483,34,王超,易方达基金,易方达积极成长混合,2882,100.36,22.62
1484,35,王超,融通基金,"融通增强收益债券A,融通四季添利债券(LOF)C,融通增强收益债券C,融通增益债券A/B,融通增益债券C,融通通优债券,融通汇财宝货币E,融通债券A/B,融通易支付货币A,融通四季添利债券(LOF)A,融通易支付货币B,融通岁岁添利定开债A,融通岁岁添利定开债B,融通汇财宝货币A,融通汇财宝货币B,融通债券C,融通易支付货币E",2638,42.14,622.56
1485,36,王春,华安基金,"华安金享混合,华安宏利混合,华安智增精选混合",3880,108.60,30.53
1486,37,王超,招商基金,"招商沪港深科技创新混合A,招商MSCI中国A股国际ETF联接A,招商MSCI中国A股国际ETF联接C,招商沪港深科技创新混合C,招商港股通核心精选股票A,招商港股通核心精选股票C,招商MSCI中国A股国际通ETF",2909,27.24,24.95
1487,38,王崇,交银施罗德基金,"交银瑞丰三年封闭混合,交银精选混合,交银新成长混合",2339,412.30,273.12
1488,39,吴超,太平基金,"太平日日金货币A,太平日日金货币B,太平日日鑫货币A,太平日日鑫货币B,太平睿盈混合A,太平恒安三个月定开债,太平睿盈混合C,太平中债1-3年政策性金融债A,太平中债1-3年政策性金融债C,太平恒泽63个月定开,太平恒久纯债",1130,27.86,174.15
1489,40,魏淳,前海开源基金,"前海开源新经济混合,前海开源人工智能主题混合,前海开源沪港深新硬件A,前海开源沪港深新硬件C,前海开源盛鑫混合A,前海开源盛鑫混合C",799,116.84,14.87
1490,41,王成,易方达基金,"易方达丰华债券A,易方达丰华债券C,易方达悦享一年持有混合A,易方达悦享一年持有混合C,易方达悦盈一年持有混合A,易方达悦盈一年持有混合C,易方达悦弘一年持有期混合A,易方达悦弘一年持有期混合C",476,21.64,248.92
1491,42,吴承根,中庚基金,中庚价值灵动灵活配置混合,288,26.94,21.85
1492,43,王昌俊,天弘基金,"天弘信利债券A,天弘信利债券C,天弘尊享定开债发起式,天弘悦享定开债券,天弘弘丰增强回报债券A,天弘弘丰增强回报债券C,天弘弘择短债A,天弘弘择短债C,天弘增利短债A,天弘增利短债C,天弘成享一年定开,天弘智荟6个月持有期债券A,天弘智荟6个月持有期债券C,天弘荣创一年持有期混合",1068,8.49,139.96
1493,44,王创练,诺安基金,"诺安安鑫灵活配置混合,诺安研究优选混合,诺安价值增长混合,诺安研究精选股票",2180,120.20,35.40
1494,45,王超伟,达诚基金管理,"达诚成长先锋混合A,达诚成长先锋混合C,达诚策略先锋混合A,达诚策略先锋混合C",1371,1.97,5.06
1495,46,邬传雁,泓德基金,"泓德远见回报混合,泓德致远混合A,泓德致远混合C,泓德臻远回报混合,泓德丰润三年持有期混合,泓德卓远混合A,泓德卓远混合C,泓德三年封闭丰泽混合",2109,181.85,492.24
1496,47,闻晨雨,方正富邦基金,"方正富邦信泓混合A,方正富邦信泓混合C,方正富邦天璇混合A,方正富邦天璇混合C,方正富邦ESG主题投资混合A,方正富邦ESG主题投资混合C,方正富邦策略精选A,方正富邦策略精选C",499,59.36,23.56
1497,48,王晨宇,方正证券,"方正证券金立方一年持有期混合A,方正证券金立方一年持有期混合C",192,3.22,25.50
